Gameweek,id,team_h_difficulty,homeTeam,homeScore,awayScore,awayTeam,team_a_difficulty,finished
19,185,3,7,0,4,18,2,1
19,184,5,6,0,1,13,4,1
19,64,3,9,2,1,6,2,1
20,63,3,7,1,1,14,2,1
20,191,2,2,2,1,11,2,1
20,68,3,13,4,2,18,5,1
20,196,5,14,2,1,13,4,1
20,193,4,5,3,0,12,3,1
20,195,2,8,1,2,17,2,1
20,198,3,16,2,0,10,2,1
20,192,2,4,2,0,3,3,1
20,200,2,20,1,0,19,2,1
20,194,2,6,1,0,7,4,1
20,197,2,15,1,0,9,4,1
20,199,4,18,0,2,1,4,1
21,207,3,12,0,0,6,4,1
21,210,2,19,2,0,8,3,1
21,202,2,3,1,1,16,2,1
21,206,3,10,2,2,5,3,1
21,209,2,17,0,1,2,2,1
21,203,3,7,0,0,15,2,1
21,205,3,11,0,0,4,2,1
21,208,2,13,3,0,20,5,1
21,201,3,1,3,2,14,4,1
21,204,3,9,0,1,18,2,1
22,214,2,6,0,0,9,4,1
22,215,4,8,1,0,1,2,1
22,211,3,2,2,4,10,2,1
22,220,4,20,3,0,12,2,1
22,212,2,4,3,0,17,3,1
22,213,2,5,1,0,3,3,1
22,216,2,14,2,1,7,4,1
22,217,2,15,1,1,19,4,1
22,218,2,16,1,0,11,2,1
22,219,5,18,1,0,13,4,1
22,76,2,14,2,2,11,4,1
23,222,3,3,1,1,15,2,1
23,230,3,19,1,1,6,3,1
23,229,2,17,1,2,20,2,1
23,221,3,1,1,1,4,4,1
23,223,3,7,1,1,5,2,1
23,224,2,9,2,0,16,2,1
23,226,3,10,4,1,18,3,1
23,225,3,11,0,2,14,2,1
23,228,2,13,3,1,2,5,1
23,227,2,12,2,0,8,4,1
23,111,5,1,1,3,13,4,1
24,231,4,2,2,4,1,2,1
24,240,2,20,0,1,3,2,1
24,232,2,4,1,1,7,3,1
24,233,2,5,0,1,9,3,1
24,234,2,6,0,1,17,4,1
24,235,2,8,1,0,11,2,1
24,238,5,16,1,1,13,2,1
24,237,4,15,0,2,12,4,1
24,236,3,14,3,0,10,4,1
24,239,2,18,2,0,19,4,1
25,244,2,9,1,1,20,2,1
25,243,2,8,0,2,2,2,1
25,245,2,11,1,0,17,2,1
25,246,4,10,0,1,1,3,1
25,242,4,7,0,0,12,2,1
25,250,2,19,4,0,16,3,1
25,249,3,18,2,0,6,4,1
25,241,5,3,1,4,13,2,1
25,61,2,1,4,0,8,4,1
25,67,2,12,2,0,20,4,1
26,257,3,13,2,0,15,5,1
26,260,3,20,1,0,18,2,1
26,251,2,1,3,2,3,4,1
26,259,3,17,1,0,10,2,1
26,252,2,2,1,0,7,2,1
26,254,2,5,4,0,19,3,1
26,255,2,6,1,0,11,4,1
26,258,2,16,2,2,8,2,1
26,256,3,12,7,0,14,4,1
26,253,2,4,3,2,9,3,1
27,269,2,18,3,1,16,4,1
27,261,4,3,1,0,12,2,1
27,263,3,8,1,0,4,2,1
27,265,3,11,2,2,5,2,1
27,266,3,10,1,3,6,3,1
27,262,5,7,0,1,13,2,1
27,264,4,9,0,3,1,2,1
27,267,2,14,0,0,17,4,1
27,270,2,19,1,1,2,3,1
27,268,2,15,2,1,20,4,1
27,73,2,5,1,0,7,3,1
27,69,3,17,0,2,4,2,1
28,278,3,16,1,2,15,2,1
28,280,2,20,2,4,11,2,1
28,272,2,2,3,0,3,2,1
28,273,3,4,1,1,10,3,1
28,271,2,1,4,1,7,4,1
28,279,3,17,3,3,18,2,1
28,275,2,6,2,2,8,4,1
29,287,4,13,4,1,12,5,1
29,289,2,16,1,1,20,2,1
29,281,2,1,4,1,11,4,1
29,290,2,19,1,0,17,3,1
29,282,2,3,2,1,9,2,1
29,283,3,5,3,3,4,3,1
29,285,3,7,2,1,10,2,1
29,284,2,6,0,2,2,4,1
29,288,3,15,2,0,14,4,1
29,286,3,8,1,1,18,2,1
29,62,3,3,0,2,5,2,1
29,65,2,11,2,1,16,2,1
29,66,2,10,1,2,2,3,1
29,74,4,6,0,0,12,4,1
29,247,3,14,1,0,4,4,1
29,70,3,19,1,5,15,3,1
30,297,2,14,2,0,8,4,1
30,299,3,18,2,1,5,4,1
30,291,2,2,2,0,16,2,1
30,300,3,20,1,0,6,2,1
30,292,3,4,1,2,15,3,1
